,Symbol,Name,Sector
223,HFC,HollyFrontier Corp,Energy
224,HOLX,Hologic,Health Care
225,HD,Home Depot,Consumer Discretionary
226,HON,Honeywell Int'l Inc.,Industrials
227,HRL,Hormel Foods Corp.,Consumer Staples
228,HST,Host Hotels & Resorts,Real Estate
229,HWM,Howmet Aerospace,Industrials
230,HPQ,HP Inc.,Information Technology
231,HUM,Humana Inc.,Health Care
232,HBAN,Huntington Bancshares,Financials
233,HII,Huntington Ingalls Industries,Industrials
234,IEX,IDEX Corporation,Industrials
235,IDXX,IDEXX Laboratories,Health Care
236,INFO,IHS Markit Ltd.,Industrials
237,ITW,Illinois Tool Works,Industrials
238,ILMN,Illumina Inc,Health Care
239,INCY,Incyte,Health Care
240,IR,Ingersoll Rand,Industrials
241,INTC,Intel Corp.,Information Technology
242,ICE,Intercontinental Exchange,Financials
243,IBM,International Business Machines,Information Technology
244,IFF,International Flavors & Fragrances,Materials
245,IP,International Paper,Materials
246,IPG,Interpublic Group,Communication Services
247,INTU,Intuit Inc.,Information Technology
248,ISRG,Intuitive Surgical Inc.,Health Care
249,IVZ,Invesco Ltd.,Financials
250,IPGP,IPG Photonics Corp.,Information Technology
251,IQV,IQVIA Holdings Inc.,Health Care
252,IRM,Iron Mountain Incorporated,Real Estate
253,JBHT,J. B. Hunt Transport Services,Industrials
254,JKHY,Jack Henry & Associates,Information Technology
255,J,Jacobs Engineering Group,Industrials
256,SJM,JM Smucker,Consumer Staples
257,JNJ,Johnson & Johnson,Health Care
258,JCI,Johnson Controls International,Industrials
259,JPM,JPMorgan Chase & Co.,Financials
260,JNPR,Juniper Networks,Information Technology
261,KSU,Kansas City Southern,Industrials
262,K,Kellogg Co.,Consumer Staples
263,KEY,KeyCorp,Financials
264,KEYS,Keysight Technologies,Information Technology
265,KMB,Kimberly-Clark,Consumer Staples
266,KIM,Kimco Realty,Real Estate
267,KMI,Kinder Morgan,Energy
268,KLAC,KLA Corporation,Information Technology
269,KSS,Kohl's Corp.,Consumer Discretionary
270,KHC,Kraft Heinz Co,Consumer Staples
271,KR,Kroger Co.,Consumer Staples
272,LB,L Brands Inc.,Consumer Discretionary
273,LHX,L3Harris Technologies,Industrials
274,LH,Laboratory Corp. of America Holding,Health Care
275,LRCX,Lam Research,Information Technology
276,LW,Lamb Weston Holdings Inc,Consumer Staples
277,LVS,Las Vegas Sands,Consumer Discretionary
278,LEG,Leggett & Platt,Consumer Discretionary
279,LDOS,Leidos Holdings,Information Technology
280,LEN,Lennar Corp.,Consumer Discretionary
281,LLY,Lilly (Eli) & Co.,Health Care
282,LNC,Lincoln National,Financials
283,LIN,Linde plc,Materials
284,LYV,Live Nation Entertainment,Communication Services
285,LKQ,LKQ Corporation,Consumer Discretionary
286,LMT,Lockheed Martin Corp.,Industrials
287,L,Loews Corp.,Financials
288,LOW,Lowe's Cos.,Consumer Discretionary
289,LYB,LyondellBasell,Materials
290,MTB,M&T Bank Corp.,Financials
291,MRO,Marathon Oil Corp.,Energy
292,MPC,Marathon Petroleum,Energy
293,MKTX,MarketAxess,Financials
294,MAR,Marriott Int'l.,Consumer Discretionary
295,MMC,Marsh & McLennan,Financials
296,MLM,Martin Marietta Materials,Materials
297,MAS,Masco Corp.,Industrials
298,MA,Mastercard Inc.,Information Technology
299,MXIM,Maxim Integrated Products Inc,Information Technology
300,MKC,McCormick & Co.,Consumer Staples
301,MCD,McDonald's Corp.,Consumer Discretionary
302,MCK,McKesson Corp.,Health Care
303,MDT,Medtronic plc,Health Care
304,MRK,Merck & Co.,Health Care
305,MET,MetLife Inc.,Financials
306,MTD,Mettler Toledo,Health Care
307,MGM,MGM Resorts International,Consumer Discretionary
308,MCHP,Microchip Technology,Information Technology
309,MU,Micron Technology,Information Technology
310,MSFT,Microsoft Corp.,Information Technology
311,MAA,Mid-America Apartments,Real Estate
312,MHK,Mohawk Industries,Consumer Discretionary
313,TAP,Molson Coors Beverage Company,Consumer Staples
314,MDLZ,Mondelez International,Consumer Staples
315,MNST,Monster Beverage,Consumer Staples
316,MCO,Moody's Corp,Financials
317,MS,Morgan Stanley,Financials
318,MSI,Motorola Solutions Inc.,Information Technology
319,MSCI,MSCI Inc,Financials
320,NDAQ,Nasdaq Inc.,Financials
321,NOV,National Oilwell Varco Inc.,Energy
322,NTAP,NetApp,Information Technology
323,NFLX,Netflix Inc.,Communication Services
324,NWL,Newell Brands,Consumer Discretionary
325,NEM,Newmont Corporation,Materials
326,NWSA,News Corp. Class A,Communication Services
327,NWS,News Corp. Class B,Communication Services
328,NEE,NextEra Energy,Utilities
329,NLSN,Nielsen Holdings,Industrials
330,NKE,Nike Inc.,Consumer Discretionary
331,NI,NiSource Inc.,Utilities
332,NSC,Norfolk Southern Corp.,Industrials
333,NTRS,Northern Trust Corp.,Financials
334,NOC,Northrop Grumman,Industrials
335,NLOK,NortonLifeLock,Information Technology
336,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
337,NRG,NRG Energy,Utilities
338,NUE,Nucor Corp.,Materials
339,NVDA,Nvidia Corporation,Information Technology
340,NVR,NVR Inc.,Consumer Discretionary
341,ORLY,O'Reilly Automotive,Consumer Discretionary
342,OXY,Occidental Petroleum,Energy
343,ODFL,Old Dominion Freight Line,Industrials
344,OMC,Omnicom Group,Communication Services
345,OKE,ONEOK,Energy
346,ORCL,Oracle Corp.,Information Technology
347,PCAR,PACCAR Inc.,Industrials
348,PKG,Packaging Corporation of America,Materials
349,PH,Parker-Hannifin,Industrials
350,PAYX,Paychex Inc.,Information Technology
351,PAYC,Paycom,Information Technology
352,PYPL,PayPal,Information Technology
353,PNR,Pentair plc,Industrials
354,PBCT,People's United Financial,Financials
355,PEP,PepsiCo Inc.,Consumer Staples
356,PKI,PerkinElmer,Health Care
357,PRGO,Perrigo,Health Care
358,PFE,Pfizer Inc.,Health Care
359,PM,Philip Morris International,Consumer Staples
360,PSX,Phillips 66,Energy
361,PNW,Pinnacle West Capital,Utilities
362,PXD,Pioneer Natural Resources,Energy
363,PNC,PNC Financial Services,Financials
364,PPG,PPG Industries,Materials
365,PPL,PPL Corp.,Utilities
366,PFG,Principal Financial Group,Financials
367,PG,Procter & Gamble,Consumer Staples
368,PGR,Progressive Corp.,Financials
369,PLD,Prologis,Real Estate
370,PRU,Prudential Financial,Financials
371,PEG,Public Service Enterprise Group (PSEG),Utilities
372,PSA,Public Storage,Real Estate
373,PHM,PulteGroup,Consumer Discretionary
374,PVH,PVH Corp.,Consumer Discretionary
375,QRVO,Qorvo,Information Technology
377,PWR,Quanta Services Inc.,Industrials
378,DGX,Quest Diagnostics,Health Care
379,RL,Ralph Lauren Corporation,Consumer Discretionary
380,RJF,Raymond James Financial Inc.,Financials
381,RTX,Raytheon Technologies,Industrials
382,O,Realty Income Corporation,Real Estate
383,REG,Regency Centers Corporation,Real Estate
384,REGN,Regeneron Pharmaceuticals,Health Care
385,RF,Regions Financial Corp.,Financials
386,RSG,Republic Services Inc,Industrials
387,RMD,ResMed,Health Care
388,RHI,Robert Half International,Industrials
389,ROK,Rockwell Automation Inc.,Industrials
390,ROL,Rollins Inc.,Industrials
391,ROP,Roper Technologies,Industrials
392,ROST,Ross Stores,Consumer Discretionary
393,RCL,Royal Caribbean Group,Consumer Discretionary
394,SPGI,S&P Global Inc.,Financials
395,CRM,Salesforce.com,Information Technology
396,SBAC,SBA Communications,Real Estate
397,SLB,Schlumberger Ltd.,Energy
398,STX,Seagate Technology,Information Technology
399,SEE,Sealed Air,Materials
400,SRE,Sempra Energy,Utilities
401,NOW,ServiceNow,Information Technology
402,SHW,Sherwin-Williams,Materials
403,SPG,Simon Property Group Inc,Real Estate
404,SWKS,Skyworks Solutions,Information Technology
405,SLG,SL Green Realty,Real Estate
406,SNA,Snap-on,Industrials
407,SO,Southern Company,Utilities
408,LUV,Southwest Airlines,Industrials
409,SWK,Stanley Black & Decker,Industrials
410,SBUX,Starbucks Corp.,Consumer Discretionary
411,STT,State Street Corp.,Financials
412,STE,STERIS plc,Health Care
413,SYK,Stryker Corp.,Health Care
414,SIVB,SVB Financial,Financials
415,SYF,Synchrony Financial,Financials
416,SNPS,Synopsys Inc.,Information Technology
417,SYY,Sysco Corp.,Consumer Staples
418,TMUS,T-Mobile US,Communication Services
419,TROW,T. Rowe Price Group,Financials
